metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2023;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;2023;weiblich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;18295;3088;857;398;1650;8117;700;3559;8737;7680;800;2123;842;1518;1082
DE2;16938;-;3557;1197;385;1818;6371;732;3673;8310;2420;426;3352;1053;1624;2216
DE3;2737;3579;-;16595;355;1226;1694;1788;2489;3929;773;178;1861;1246;1231;599
DE4;925;1189;8038;-;103;349;572;1833;1242;1516;269;60;2298;1350;623;387
DE5;397;444;323;98;-;590;260;96;6083;1027;102;35;115;106;435;59
DE6;1234;1543;1293;345;516;-;851;1047;6548;2437;377;68;385;261;10984;177
DE7;7758;7270;2021;589;309;1268;-;478;4066;8517;7861;476;1146;535;1363;1367
DE8;585;667;1107;1255;145;864;377;-;1350;1057;198;45;744;464;1656;282
DE9;4159;4397;2576;1219;5402;5925;4141;1438;-;15897;1565;301;1658;2338;4489;1165
DEA;8573;8958;4391;1420;1155;3356;8293;1144;16117;-;8519;778;1920;1241;3396;1111
DEB;7052;2639;835;295;153;465;7385;234;1487;7984;-;2217;609;307;602;313
DEC;872;481;211;56;28;96;510;46;260;973;2223;-;105;53;74;51
DED;1895;2784;1858;2038;147;538;1186;937;1421;2219;560;127;-;3035;493;2469
DEE;791;1056;1095;1091;139;325;620;586;2545;1529;307;53;2969;-;389;1282
DEF;1250;1349;865;499;434;8223;955;1843;4185;2700;467;104;498;338;-;222
DEG;1130;2354;639;438;112;277;1494;410;1252;1582;350;65;2956;1365;290;-
