metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1997;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1997;weiblich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;16679;2231;1162;349;1114;7615;924;3361;8687;7541;1275;2704;834;1481;1109
DE2;13010;-;2239;778;310;1051;5420;369;2865;6792;2070;388;2879;766;1205;1813
DE3;2334;2884;-;22150;244;854;402;817;659;764;183;34;706;473;300;356
DE4;1491;1999;8510;-;126;523;792;1607;1964;2661;586;112;2180;1377;834;598
DE5;392;347;270;51;-;475;336;145;7703;853;137;26;82;82;327;36
DE6;984;986;870;230;301;-;757;667;6822;1657;261;47;179;140;11690;82
DE7;6659;6274;1505;462;324;956;-;277;4150;7747;7204;404;1013;500;1206;1364
DE8;625;619;1467;1312;261;1554;390;-;2096;1216;239;36;607;451;2861;267
DE9;5478;7413;2843;2127;6146;6139;7511;1969;-;18950;2426;487;3130;4192;5080;2394
DEA;7830;7649;3516;1398;774;2096;7801;1137;14520;-;8691;672;2091;1213;2940;1060
DEB;6082;2374;602;269;108;323;6022;231;1291;7602;-;1668;465;275;492;329
DEC;1040;574;177;55;25;72;517;39;256;872;1939;-;99;64;83;55
DED;3666;5805;1520;2037;113;294;1612;711;1513;3057;941;124;-;2021;435;1798
DEE;1483;1681;1119;1317;167;314;1019;655;4665;2458;198;66;2292;-;416;1349
DEF;1293;1310;987;410;340;8700;894;1988;4182;2509;461;74;293;205;-;131
DEG;1638;3440;637;457;46;179;2542;317;1409;1709;646;47;2068;1187;198;-
