metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1994;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1994;weiblich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;17033;2489;880;409;1124;7512;410;3952;8136;8834;1205;2688;879;1578;1221
DE2;13998;-;2386;852;329;1095;5359;299;3380;6913;2583;448;3386;827;1306;1909
DE3;2262;2772;-;10222;266;863;1512;938;3335;3136;732;120;1097;719;1504;545
DE4;1513;1554;5611;-;154;292;769;1119;2231;2619;701;80;1550;1049;715;486
DE5;351;363;302;54;-;440;296;120;7644;692;110;17;74;76;340;30
DE6;893;798;748;141;250;-;705;524;6589;1492;278;48;206;127;11352;65
DE7;6552;6265;1541;442;320;879;-;288;4398;7203;8020;427;1070;538;1217;1484
DE8;675;593;1241;1112;347;1338;374;-;2704;1302;243;48;611;517;2820;314
DE9;5517;6381;2549;1570;5392;5091;6983;1205;-;19140;3159;571;1207;2971;5075;1025
DEA;8018;7872;3506;1606;879;2437;7942;944;15581;-;9342;585;2183;1603;3221;1171
DEB;5863;2352;606;280;117;320;5868;146;1456;6580;-;1783;612;320;516;428
DEC;1050;539;166;78;30;61;606;33;304;757;2099;-;110;53;109;61
DED;4438;5770;1365;1739;138;251;1823;742;2002;3223;1289;116;-;1857;352;1794
DEE;1623;1697;1009;1168;183;232;1098;566;5355;2829;730;61;1444;-;375;1135
DEF;1756;2109;1057;750;573;9572;1479;1731;5866;5117;922;141;299;317;-;179
DEG;1835;3667;573;439;51;74;2772;279;1633;1743;788;61;1646;1056;143;-
