metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2024;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;2024;weiblich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;17506;2863;816;346;1503;7798;633;3344;8604;7338;791;2079;767;1415;942
DE2;16372;-;3474;1043;405;1646;6039;722;3559;8058;2248;420;3204;961;1473;2017
DE3;2664;3607;-;16039;295;1177;1717;1688;2501;3825;686;145;1863;1275;1209;604
DE4;773;1055;8259;-;93;339;556;1829;1172;1316;317;59;2298;1308;564;385
DE5;389;394;345;95;-;591;265;120;6259;1104;114;28;131;87;388;55
DE6;1273;1551;1365;307;477;-;841;878;6103;2356;325;66;398;243;10513;140
DE7;7622;7392;2048;592;268;1162;-;498;3884;8242;7574;435;1206;561;1212;1222
DE8;519;661;1072;1275;139;911;328;-;1257;1102;212;43;769;460;1705;315
DE9;4028;4267;2645;1145;4834;5927;3884;1380;-;15596;1410;291;1576;2395;4201;1049
DEA;8571;8893;4576;1255;1047;3093;8152;1207;15835;-;8477;700;2083;1195;3270;969
DEB;7032;2573;874;280;119;467;7217;246;1415;7985;-;2231;541;287;557;323
DEC;924;493;190;46;26;86;491;32;271;802;2117;-;97;59;82;39
DED;1805;2872;1859;1802;170;446;1100;861;1402;2192;506;109;-;3011;548;2124
DEE;836;1032;1059;1099;99;296;610;594;2326;1555;293;54;2978;-;366;1211
DEF;1293;1356;848;459;432;8168;900;1728;4003;2641;460;69;464;318;-;230
DEG;1122;2364;683;414;82;297;1410;399;1194;1689;362;56;2965;1377;353;-
