metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1999;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1999;weiblich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;16881;2458;1170;344;1235;7335;691;3278;7970;7196;1093;2505;774;1275;1013
DE2;13890;-;2500;788;298;1196;5531;345;2872;6767;2170;403;2736;770;1262;1740
DE3;2574;3196;-;21767;251;1001;1726;1325;2755;3432;688;103;1057;793;1228;497
DE4;2126;2545;10508;-;166;629;904;1577;2147;2885;709;92;2118;1194;908;652
DE5;440;368;367;62;-;513;320;124;8114;836;117;29;75;71;305;30
DE6;1011;1167;1134;242;357;-;811;783;6826;1873;259;47;190;150;12122;82
DE7;6956;6952;1692;457;297;998;-;283;4116;7834;6799;420;953;466;1186;1416
DE8;919;826;1704;1223;284;2113;436;-;2361;1480;321;28;634;442;3213;272
DE9;5752;8431;3251;2333;6178;6645;7201;2196;-;19114;2731;520;2907;3920;4979;2098
DEA;8510;9035;6217;1867;874;2636;8355;1004;14736;-;8815;684;1706;1180;3054;986
DEB;6016;2502;733;338;114;328;6161;170;1279;7514;-;1801;409;219;469;306
DEC;998;572;178;44;42;83;612;25;214;889;2027;-;63;30;83;67
DED;4844;7291;1722;1795;152;399;1892;709;1655;3525;1012;112;-;1766;462;1832
DEE;2035;2613;1224;1256;167;318;1213;680;5018;2772;607;47;2373;-;489;1301
DEF;1483;1472;1067;373;309;9059;1055;2049;4303;2521;435;46;281;243;-;150
DEG;2087;3942;678;480;78;148;2537;322;1465;1880;658;74;2051;1113;213;-
