metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1996;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1996;weiblich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;16902;2349;1122;386;1089;7453;903;3408;8765;7788;1372;2718;903;1525;997
DE2;13446;-;2199;783;304;923;5323;341;3067;6741;2247;423;2885;824;1218;1762
DE3;2146;2917;-;16416;259;856;1585;1025;3141;3251;733;123;1117;794;1397;547
DE4;1478;1878;7220;-;181;452;916;1608;2026;2446;568;95;2036;1521;861;657
DE5;383;378;262;56;-;455;281;115;7680;778;140;24;77;68;366;45
DE6;918;947;857;184;325;-;700;663;6813;1659;275;48;192;145;11505;86
DE7;6772;6226;1468;473;280;815;-;263;4013;7585;6938;468;984;546;1126;1347
DE8;504;572;1333;1185;373;1468;347;-;2107;1147;239;28;547;530;2757;264
DE9;5734;7108;2499;2521;6070;6221;7975;2402;-;19460;2611;532;2639;4637;5252;1624
DEA;7740;7978;3281;1270;816;2164;7796;1254;14165;-;9083;660;2040;1509;2987;1081
DEB;5874;2408;543;305;120;278;5983;175;1284;7536;-;1796;589;248;483;385
DEC;1005;513;144;67;38;62;572;27;242;836;1876;-;118;58;72;71
DED;3935;5749;1424;1996;117;252;1610;749;1624;3051;1000;141;-;2021;358;1748
DEE;1549;1736;1052;1210;154;236;983;615;4590;2647;428;83;1968;-;394;1297
DEF;1275;1233;986;361;363;8330;929;1995;4033;2611;515;76;287;239;-;148
DEG;1915;3511;609;486;89;153;2437;338;1583;1845;631;62;1875;1134;185;-
