metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1998;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1998;weiblich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;16945;2698;1025;329;1238;7518;836;3362;8074;7205;1205;2621;860;1327;1159
DE2;14006;-;2688;809;252;1112;5525;336;2880;6674;2106;348;2711;796;1155;1689
DE3;2603;3291;-;23957;237;923;1631;1201;2923;3297;678;126;1150;820;1368;549
DE4;1667;2127;9759;-;160;480;940;1616;2076;2598;608;69;2119;1272;875;578
DE5;361;351;371;55;-;490;293;123;7961;835;118;13;100;63;383;30
DE6;971;1080;1013;185;325;-;838;736;7003;1596;245;38;192;133;11989;77
DE7;7025;6520;1784;477;297;1012;-;260;4029;7791;7144;425;971;509;1161;1378
DE8;778;750;1703;1305;261;1846;389;-;2222;1350;308;34;556;448;2990;264
DE9;5076;7370;3472;2043;5673;6163;6866;2086;-;17685;2177;433;2447;3640;5046;1940
DEA;8382;8591;4180;1379;834;2357;8085;1073;14696;-;9102;662;1932;1168;2955;926
DEB;6075;2498;703;253;102;326;5933;183;1276;7539;-;1752;473;298;502;330
DEC;1047;586;215;51;15;68;558;21;251;779;1919;-;133;34;76;37
DED;4218;6365;1764;2014;108;330;1838;716;1723;3291;1036;130;-;1977;454;1830
DEE;1758;2107;1301;1385;124;291;1097;569;4780;2605;413;79;2356;-;451;1343
DEF;1370;1354;1249;368;339;8953;959;2124;4102;2497;453;87;328;242;-;117
DEG;1864;3638;690;466;72;118;2559;283;1416;1776;661;64;2112;1187;194;-
