metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2022;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;2022;weiblich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;19082;3376;954;373;1739;8444;764;3817;9230;8288;960;2449;917;1534;1193
DE2;17560;-;4126;1208;422;1962;6829;843;3992;8893;2568;500;3724;1192;1540;2337
DE3;2633;3487;-;16413;306;1248;1828;1855;2622;3993;789;161;1909;1330;1231;672
DE4;946;1244;8213;-;115;400;627;1862;1192;1539;313;57;2151;1446;618;495
DE5;401;396;356;108;-;628;284;134;6698;1086;117;34;121;82;411;55
DE6;1329;1572;1537;370;449;-;989;1149;7109;2563;376;77;416;239;11702;190
DE7;8057;7637;2234;641;275;1387;-;497;4192;9042;8335;512;1373;662;1324;1507
DE8;644;698;1141;1315;143;892;404;-;1378;1113;205;36;794;474;1563;277
DE9;4153;4648;2926;1204;4740;5753;4204;1662;-;16317;1601;300;1608;2557;4354;1117
DEA;8689;9105;5040;1350;984;3476;8592;1190;16739;-;9095;772;2140;1377;3377;1159
DEB;7359;2854;1005;299;145;509;7798;276;1537;8392;-;2202;584;322;544;343
DEC;864;465;191;54;31;92;488;51;262;956;2402;-;100;54;93;67
DED;1896;3069;1923;2146;141;528;1159;872;1536;2271;594;133;-;3084;513;2577
DEE;752;1102;1086;1120;93;353;673;635;2539;1613;286;43;2942;-;360;1374
DEF;1329;1358;944;561;352;8386;959;1864;4240;2633;495;116;524;352;-;230
DEG;1065;2420;748;421;91;298;1631;411;1307;1690;400;63;2854;1375;270;-
