metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1991;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1991;weiblich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;15008;2442;491;405;1134;6679;211;4057;7939;6832;1064;1524;509;1588;650
DE2;13964;-;2491;439;334;1064;5283;192;3739;7217;2685;518;1875;506;1369;1081
DE3;2652;2965;-;3298;290;835;1643;666;3495;3529;794;156;944;528;1534;492
DE4;3074;2700;5228;-;207;443;1387;1048;3662;4544;1039;154;1769;1025;846;651
DE5;390;409;288;39;-;415;326;63;6322;688;138;21;34;30;384;11
DE6;807;982;732;59;279;-;757;247;5042;1515;287;40;85;45;9038;35
DE7;6676;6242;1622;220;311;908;-;93;4220;7255;6867;497;482;275;1280;624
DE8;1249;943;1567;1224;526;1557;569;-;3842;2333;407;32;1021;745;4221;467
DE9;7222;6500;2637;451;4947;4899;8213;558;-;22404;3982;1223;560;1193;4135;502
DEA;8851;8878;3693;678;794;2262;7957;414;14014;-;8401;721;1211;734;3338;677
DEB;5781;2448;701;187;97;310;5306;82;1332;6584;-;1621;349;223;433;235
DEC;1384;617;173;40;28;75;615;10;280;790;2227;-;64;35;104;51
DED;8338;11438;1910;1780;178;371;3095;828;2957;5838;1930;237;-;1538;496;1728
DEE;3192;3385;1206;1141;216;307;1792;741;7640;5024;1316;136;1681;-;565;1219
DEF;2708;2230;991;140;651;7650;2328;693;8240;10144;1541;232;135;89;-;91
DEG;3470;6316;810;523;82;113;4284;309;2097;2995;1209;129;1618;966;242;-
