metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1993;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1993;weiblich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;15631;2350;752;402;1239;7160;403;4041;7984;8059;1032;2256;769;1477;920
DE2;13802;-;2297;742;333;1144;5291;334;3651;7060;2703;415;2972;896;1390;1865
DE3;2286;2768;-;6636;249;904;1594;855;3738;3367;841;150;973;598;1492;486
DE4;1837;1988;5265;-;162;286;1064;1097;2474;3783;811;109;1365;965;820;522
DE5;329;334;256;51;-;482;283;124;7504;645;117;27;58;49;348;25
DE6;806;872;773;117;304;-;724;451;5907;1435;239;37;144;121;10530;66
DE7;6455;6450;1460;385;320;1022;-;240;4224;7193;7875;433;894;459;1258;1407
DE8;741;631;1285;1131;255;1471;487;-;2768;1509;326;33;691;635;3102;318
DE9;3514;3478;2462;817;4734;5541;3860;1031;-;11887;1526;225;790;2165;3773;719
DEA;7835;8056;3359;1292;824;2537;7748;921;14508;-;8578;635;1917;1449;3198;114
DEB;5661;2406;594;245;110;345;5657;136;1370;6272;-;1660;528;268;520;385
DEC;1075;565;171;62;33;72;495;28;318;717;2076;-;114;76;87;71
DED;5958;6487;1355;1705;118;282;1973;683;2008;3352;1408;114;-;1550;385;1660
DEE;1631;1790;889;900;198;221;1131;578;5003;2901;780;64;1187;-;363;1119
DEF;1827;2124;943;541;605;8942;1502;1463;5922;5674;1009;215;245;212;-;107
DEG;1997;3849;593;418;44;120;2849;282;1532;1865;901;95;1395;875;142;-
