metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1992;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1992;weiblich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;15332;2478;629;408;1141;6981;386;4074;7961;7494;947;2184;621;1584;976
DE2;14194;-;2390;594;361;1099;5491;266;3672;7214;2947;478;2844;655;1466;1807
DE3;2521;3048;-;4157;294;795;1796;784;3588;3691;882;158;957;557;1681;565
DE4;2349;2219;5068;-;304;445;1353;1029;3544;4699;1029;153;1554;865;864;597
DE5;380;321;273;51;-;375;292;87;7096;704;153;27;65;58;379;32
DE6;856;963;743;95;325;-;723;412;5321;1471;281;49;130;84;9774;68
DE7;6628;6417;1508;343;359;966;-;199;4336;7109;7654;463;757;383;1267;1168
DE8;902;772;1311;1082;382;1494;466;-;3015;1861;430;26;723;568;3474;426
DE9;5672;6483;2478;629;5228;4660;7479;871;-;17818;3811;760;754;1671;4145;871
DEA;8273;8501;3586;1059;839;2208;7998;771;14339;-;8644;702;1662;1006;3452;1160
DEB;5469;2567;668;224;115;304;5563;103;1374;6452;-;1764;471;226;570;421
DEC;1268;646;176;60;29;59;591;18;265;775;2209;-;106;61;93;74
DED;6542;8848;1676;1465;165;259;2382;656;2110;4101;1484;153;-;1425;441;1707
DEE;2295;2293;951;834;149;253;1365;563;5797;3328;875;94;1313;-;417;1172
DEF;1975;2832;1024;211;877;7641;2373;1183;9241;9619;1369;251;235;171;-;210
DEG;2814;4960;638;389;42;98;3383;301;1463;2119;997;80;1407;806;152;-
