metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1995;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1995;weiblich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;17542;2431;1031;418;1069;7447;509;3679;8363;8866;1203;2904;920;1534;1140
DE2;13824;-;2263;891;323;1004;5259;337;3089;6675;2318;345;3193;858;1323;1808
DE3;2330;2872;-;13272;291;730;1516;933;3221;3072;742;111;1121;796;1433;559
DE4;1358;1825;6370;-;192;292;833;1520;2004;2504;680;92;1730;1331;842;482
DE5;402;364;281;76;-;390;313;138;7310;837;117;18;77;76;334;37
DE6;886;978;790;181;318;-;758;584;6651;1648;295;37;180;130;10997;69
DE7;6512;6465;1579;474;323;890;-;295;4114;7034;7304;403;1078;517;1153;1530
DE8;594;561;1442;1183;362;1314;335;-;2407;1312;256;24;595;499;2778;297
DE9;5777;7581;2636;1679;5830;5108;8414;1779;-;20503;3293;523;1824;3561;5058;1222
DEA;8093;8059;3466;1449;852;2190;7781;1186;14655;-;8924;550;2153;1586;3088;1214
DEB;5951;2486;622;279;129;261;5851;136;1379;6825;-;1675;674;307;500;340
DEC;1014;520;163;70;53;88;518;48;250;721;2073;-;104;70;69;60
DED;4292;6049;1419;1915;147;259;1673;746;1837;3109;903;149;-;2112;382;1912
DEE;1550;1844;1009;1178;139;209;1084;596;5288;2751;656;94;1722;-;386;1315
DEF;1735;2250;1082;521;684;10235;1625;1795;5472;4624;1002;166;470;442;-;178
DEG;2056;3806;615;517;81;104;2750;316;1459;1918;696;70;1811;1156;149;-
