metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1999;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1999;m�nnlich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;17405;2972;1244;381;1356;8049;692;3532;8444;7386;1113;2808;860;1269;1197
DE2;14451;-;2946;906;356;1276;6161;500;3249;7428;2318;497;3229;960;1275;2003
DE3;2841;3741;-;22141;263;939;1912;1391;2861;3668;731;133;1269;835;1255;497
DE4;2181;2629;10308;-;161;622;917;1608;2080;2796;703;99;2120;1188;884;638
DE5;433;503;390;78;-;579;319;126;7968;863;113;19;78;88;378;39
DE6;1085;1190;1262;257;382;-;846;921;6891;1966;253;52;243;182;11801;100
DE7;7543;7543;2047;508;302;1021;-;302;4042;8241;7163;428;1192;546;1098;1507
DE8;908;1004;1739;1188;263;1892;467;-;2360;1528;337;32;564;458;2932;267
DE9;5960;8615;3546;2266;6179;6802;7132;2216;-;19095;2557;492;2804;4028;5039;2083
DEA;9348;10100;6845;2097;863;2803;8786;1084;14747;-;8949;709;2134;1402;3028;1198
DEB;6271;2791;855;371;116;350;6450;212;1318;7733;-;1825;543;296;457;364
DEC;1158;704;197;51;50;92;612;49;254;1008;2037;-;94;51;62;76
DED;4870;7048;1853;1712;155;413;1906;667;1750;3624;1015;108;-;1748;459;1749
DEE;2250;2790;1256;1184;157;351;1203;596;4657;3001;641;61;2428;-;495;1259
DEF;1571;1634;1311;494;336;9374;1059;2334;4375;2677;473;66;363;285;-;173
DEG;2051;3565;685;452;60;170;2166;319;1390;1762;637;58;1991;1058;243;-
