metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2023;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;2023;m�nnlich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;19422;2973;1034;426;1621;8118;665;3817;9081;8157;784;2257;929;1421;1191
DE2;18304;-;3858;1299;474;1782;7036;775;4294;9579;2792;529;3842;1264;1607;2404
DE3;2693;3897;-;16830;302;1161;1854;1693;2493;4010;726;165;1926;1352;1066;575
DE4;1122;1481;8637;-;125;362;643;1641;1247;1616;342;54;2327;1440;597;479
DE5;439;511;315;87;-;596;287;109;6125;1021;125;27;145;111;402;83
DE6;1214;1583;1205;355;493;-;852;1057;6337;2258;381;65;424;272;10889;170
DE7;8098;7859;1945;640;353;1110;-;482;4170;8480;7631;495;1208;781;1230;1398
DE8;655;803;988;1201;199;937;415;-;1356;1145;204;51;728;437;1566;281
DE9;4424;5004;2535;1244;5388;5703;4090;1411;-;15416;1640;289;1663;2567;4140;1267
DEA;9425;10385;4392;1455;1056;3049;8509;1223;15868;-;8549;767;2178;1437;3026;1289
DEB;7584;3114;839;345;191;472;7178;236;1629;7780;-;2198;619;347;564;394
DEC;886;493;199;54;37;88;502;44;274;957;2056;-;105;61;85;63
DED;2214;3371;1838;1981;238;557;1304;863;1549;2525;617;149;-;3079;567;2269
DEE;977;1308;1165;1017;162;339;709;547;2575;1812;351;74;2803;-;414;1294
DEF;1285;1474;807;440;416;8383;945;1754;3881;2549;508;102;471;367;-;238
DEG;1238;2585;645;450;151;275;1486;407;1291;1901;411;108;2858;1242;297;-
