metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1997;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1997;m�nnlich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;17373;2883;1257;387;1274;7968;945;3576;9265;7833;1325;3362;927;1535;1268
DE2;14005;-;2911;1009;333;1159;6131;447;3163;7373;2397;427;3969;1034;1308;2142
DE3;2676;3181;-;22484;260;904;1866;1297;3122;3609;884;177;1727;929;1459;601
DE4;1542;1982;8773;-;151;513;810;1544;1865;2618;617;120;2445;1378;908;572
DE5;430;412;376;91;-;518;308;172;7469;954;137;27;102;95;475;49
DE6;1047;1061;1055;289;349;-;872;776;6727;1815;271;48;299;211;11476;99
DE7;7100;6748;1860;553;291;973;-;330;4160;7737;7500;466;1459;651;1191;1560
DE8;653;666;1442;1256;237;1476;383;-;2033;1211;252;30;684;461;2819;279
DE9;5894;7700;3190;2114;6400;6376;7500;2195;-;18583;2441;484;3179;4315;5575;2396
DEA;8649;8577;4258;1767;810;2535;8374;1271;14874;-;8840;696;2717;1589;3221;1272
DEB;6370;2623;817;330;141;381;6486;252;1357;7617;-;1772;737;347;533;354
DEC;1235;706;225;62;23;101;576;43;278;915;2032;-;156;78;84;104
DED;3729;5572;1884;1991;104;386;1801;578;1466;3030;897;150;-;2142;509;1697
DEE;1533;1873;1298;1241;178;374;1008;635;4083;2573;206;76;2230;-;550;1247
DEF;1490;1447;1312;531;492;9154;1027;2551;4831;2816;570;94;467;323;-;170
DEG;1692;3065;647;429;48;206;2154;270;1305;1652;594;72;2020;1135;247;-
