metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2021;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;2021;m�nnlich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;19864;3697;1084;444;1653;8554;787;4183;9643;8228;926;2561;950;1500;1263
DE2;18609;-;4655;1328;470;1736;6947;893;4280;9485;2849;573;4053;1262;1621;2598
DE3;2566;3534;-;17684;331;1118;1711;1862;2586;3735;797;159;1934;1343;1179;690
DE4;918;1198;8693;-;117;354;561;1765;1210;1616;314;66;2014;1328;577;470
DE5;489;485;410;103;-;563;275;125;6743;944;128;25;162;80;409;63
DE6;1262;1544;1614;361;476;-;886;1138;7350;2380;385;60;516;264;12467;209
DE7;8053;8222;2389;633;364;1192;-;523;4225;8826;8418;468;1409;600;1281;1460
DE8;598;767;1207;1160;176;936;430;-;1394;1193;214;33;732;465;1528;256
DE9;4187;4765;2889;1231;5467;5662;3967;1598;-;15009;1561;279;1710;2621;4132;1314
DEA;9171;10113;5217;1481;1111;3042;8629;1366;16426;-;8994;804;2309;1436;3100;1398
DEB;7423;2912;975;331;152;489;7386;323;1617;8386;-;2311;622;295;593;381
DEC;869;524;203;63;26;87;468;40;273;877;2148;-;115;69;88;75
DED;1945;3319;2014;2038;178;494;1260;812;1549;2441;588;115;-;3082;535;2364
DEE;829;1147;1155;976;130;370;681;568;2545;1673;335;78;2846;-;398;1217
DEF;1232;1355;927;470;410;8121;864;1969;4028;2526;438;81;471;392;-;231
DEG;1161;2469;745;433;72;316;1444;463;1270;1805;359;71;2712;1327;324;-
