metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1994;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1994;m�nnlich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;17889;3090;1236;413;1271;8133;631;4335;8887;9117;1343;3998;1255;1703;1651
DE2;14782;-;3085;1169;396;1152;5950;461;3683;7433;2887;489;5234;1337;1486;2707
DE3;2430;2864;-;11116;287;957;1629;1075;3446;3294;807;148;1444;881;1659;608
DE4;1451;1516;5584;-;146;291;843;1200;2019;2417;659;86;1716;1145;744;458
DE5;372;354;329;86;-;502;299;227;7781;761;106;26;114;95;492;62
DE6;912;924;1027;251;281;-;760;744;6868;1726;277;57;301;182;11066;102
DE7;7044;6951;2009;743;327;989;-;347;4394;7622;8142;483;1772;792;1220;2037
DE8;655;579;1219;1178;307;1122;389;-;2562;1223;263;47;682;563;2686;306
DE9;5736;6484;3104;1856;5648;5570;6956;1663;-;18817;3060;579;1532;3923;5889;1214
DEA;8396;8625;4288;2099;897;2623;8163;1356;15914;-;9305;624;3335;2303;3593;1630
DEB;6257;2620;846;481;113;401;6261;227;1512;6761;-;1820;897;532;645;592
DEC;1505;632;217;91;61;82;615;39;309;911;2156;-;196;111;118;104
DED;4024;5275;1410;1657;133;237;1864;643;1766;2810;1193;106;-;1912;410;1629
DEE;1593;1681;992;1128;168;239;1049;537;4631;2635;698;79;1500;-;403;1092
DEF;1931;2211;1320;923;723;9827;1467;2345;6926;5311;992;167;365;381;-;240
DEG;1684;3238;603;422;46;117;2419;271;1424;1660;688;54;1685;1059;182;-
