metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1993;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1993;m�nnlich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;16937;2908;1187;443;1350;8249;595;4438;8798;8686;1269;4180;1370;1642;1582
DE2;15278;-;2934;1167;374;1281;6253;502;3870;7772;2941;514;5255;1583;1512;2998
DE3;2524;3054;-;7835;278;1124;1875;1063;3876;3848;947;173;1422;829;1718;619
DE4;1737;2041;5101;-;182;345;1049;1135;2268;3672;829;109;1525;1072;894;527
DE5;333;399;319;98;-;575;310;191;7625;737;133;20;114;94;467;50
DE6;922;995;914;213;323;-;781;745;6259;1686;291;50;227;197;10681;103
DE7;7054;7128;1813;694;300;1065;-;343;4464;7701;8286;464;1716;784;1269;2174
DE8;769;693;1284;1115;279;1448;476;-;2757;1487;320;49;668;667;2951;369
DE9;3890;3695;2697;1165;5184;5800;4029;1614;-;12259;1567;247;1230;3383;4771;993
DEA;8224;8771;4140;2025;886;2721;8427;1317;14928;-;9100;744;3173;2429;3599;1661
DEB;6376;2796;758;405;129;411;6181;192;1473;6729;-;1775;944;480;533;626
DEC;1458;753;254;89;94;100;596;41;359;890;2029;-;190;121;129;111
DED;4811;6024;1356;1559;106;252;1957;611;1804;3065;1347;119;-;1591;376;1546
DEE;1576;1845;922;928;182;221;1088;535;4349;2763;678;81;1443;-;413;1085
DEF;1892;2162;1137;668;821;9293;1580;2236;6802;5991;1054;219;371;382;-;169
DEG;1934;3460;585;426;56;110;2495;297;1352;1759;852;73;1542;921;195;-
