metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1998;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1998;m�nnlich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;17713;3202;1160;395;1273;8161;863;3486;8823;7421;1206;2976;941;1364;1283
DE2;14854;-;3244;973;305;1158;6088;444;3245;7377;2186;404;3361;1022;1180;1979
DE3;2875;3592;-;23966;258;947;1806;1337;3104;3527;712;144;1482;890;1400;593
DE4;1741;2199;9665;-;201;502;970;1543;1938;2484;687;70;2146;1293;875;570
DE5;391;430;433;68;-;513;342;151;7984;878;127;19;126;76;413;50
DE6;1110;1133;1109;232;330;-;899;875;7188;1855;292;69;301;180;11438;92
DE7;7341;6962;2050;565;263;1017;-;305;3934;7764;7481;459;1287;590;1109;1532
DE8;841;862;1667;1233;241;1665;438;-;2289;1399;281;37;627;499;2804;277
DE9;5523;7756;3729;2111;5952;6458;6973;2237;-;17672;2104;446;2595;3785;5257;1923
DEA;9164;9459;5087;1650;897;2572;8769;1163;14668;-;9169;677;2365;1585;3079;1115
DEB;6533;2705;896;329;106;337;6362;197;1388;7639;-;1867;601;309;487;415
DEC;1332;728;263;72;23;100;620;38;254;931;2009;-;156;59;71;75
DED;4400;6137;1846;1878;116;385;1923;709;1724;3400;1085;152;-;1940;468;1717
DEE;1847;2292;1441;1235;158;363;1022;585;4396;2878;397;73;2356;-;505;1334
DEF;1546;1541;1593;483;376;9285;1027;2413;4525;2722;499;95;409;359;-;169
DEG;1888;3370;651;414;54;131;2277;287;1319;1802;592;59;2032;1217;242;-
