metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2024;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;2024;m�nnlich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;18924;2877;896;374;1401;7891;667;3541;8922;7634;771;2277;904;1434;1046
DE2;17458;-;3686;1204;512;1517;6746;739;4007;9520;2702;485;3596;1217;1466;2214
DE3;2715;4051;-;16380;273;1138;1714;1548;2417;3856;684;157;1843;1486;1123;586
DE4;1007;1231;8747;-;129;338;620;1570;1202;1438;345;72;2085;1350;519;400
DE5;429;499;312;102;-;551;305;131;6174;988;131;20;138;105;360;76
DE6;1214;1535;1230;326;443;-;829;900;6018;2179;356;67;362;236;10653;140
DE7;7833;8031;2042;623;287;1037;-;481;3904;8158;7843;424;1314;646;1128;1306
DE8;578;752;1081;1128;165;917;405;-;1250;1173;222;37;724;484;1544;266
DE9;4236;4797;2548;1154;4664;5426;3876;1371;-;14657;1515;332;1720;2477;4025;1110
DEA;9190;10222;4341;1406;997;2855;8189;1156;15392;-;8514;723;2343;1472;3068;1187
DEB;7267;3081;798;288;166;431;7195;242;1567;7880;-;2128;632;319;558;378
DEC;857;565;180;46;20;78;474;32;277;786;1987;-;131;54;103;83
DED;2045;3367;1807;1731;186;461;1336;754;1577;2613;632;138;-;3128;578;2169
DEE;938;1201;1194;1064;147;403;734;507;2476;1820;326;75;2893;-;421;1199
DEF;1322;1467;847;408;394;7977;870;1666;3756;2533;427;72;489;370;-;242
DEG;1157;2511;661;398;125;266;1469;361;1245;1814;432;66;2749;1246;331;-
