metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1991;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1991;m�nnlich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;16037;2925;1146;435;1202;7398;415;4521;8949;7528;1194;3757;1301;1780;1528
DE2;15629;-;2832;967;362;1260;6069;387;4126;8299;2917;597;4881;1413;1653;3156
DE3;3346;3705;-;4426;351;1202;2026;831;4062;4439;950;220;1229;616;1667;598
DE4;3391;3040;4634;-;232;430;1400;1061;3634;4717;1065;147;1979;1103;838;625
DE5;441;461;335;83;-;483;349;120;6479;804;155;28;81;72;618;35
DE6;1010;1070;858;134;342;-;832;672;5512;1778;298;58;193;141;9173;69
DE7;7391;7037;1798;472;305;988;-;185;4312;7929;7308;530;1143;595;1352;1820
DE8;1431;1130;1458;1214;617;1513;570;-;4000;2478;420;44;1024;781;4061;442
DE9;7733;6842;2861;971;5164;5346;8137;1032;-;22662;3791;1201;1187;2743;5390;1037
DEA;9842;10114;4298;1454;906;2612;8563;937;14462;-;8672;810;2422;1665;4094;1331
DEB;6386;2851;865;365;124;362;5431;138;1521;6959;-;1721;781;434;565;519
DEC;1792;869;244;86;54;114;765;20;309;1011;2228;-;158;78;147;69
DED;10165;11978;1872;1728;158;307;3059;707;2815;5697;2032;209;-;1428;475;1608
DEE;3617;3697;1129;1106;216;302;1867;651;7102;4863;1266;104;1609;-;505;1037
DEF;2905;2398;1109;333;880;8249;2530;1468;9259;10472;1591;255;263;195;-;146
DEG;3988;6139;761;510;72;106;3962;326;1816;2883;1173;133;1584;919;223;-
