metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1992;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1992;m�nnlich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;16897;3117;1217;474;1211;7704;614;4474;8738;8142;1128;4632;1381;1790;2098
DE2;15907;-;2856;1203;452;1159;6413;536;4088;8167;3156;565;5955;1470;1639;3866
DE3;2905;3489;-;5279;341;1020;2038;960;3933;4224;961;180;1219;731;1808;704
DE4;2390;2417;4808;-;276;479;1383;984;3548;4527;1031;113;1610;928;881;555
DE5;443;417;343;111;-;461;334;206;7381;878;149;38;96;113;571;72
DE6;899;1069;953;186;351;-;782;788;5746;1781;304;58;239;178;9853;109
DE7;7506;7220;1862;568;352;997;-;312;4659;7822;8275;556;1587;696;1360;2503
DE8;1056;898;1277;1044;414;1393;512;-;3034;1793;446;39;755;588;3209;392
DE9;6015;6921;2965;1103;5583;5106;7406;1456;-;17847;3841;719;1387;3123;5037;1309
DEA;8914;9807;4424;1839;1041;2510;8529;1371;14880;-;9197;776;3225;2142;3955;1997
DEB;6225;2964;809;404;132;360;6119;178;1511;6671;-;1821;957;416;645;774
DEC;1490;804;236;105;62;86;620;48;298;979;2249;-;208;75;151;134
DED;6586;8419;1600;1385;171;239;2282;569;1943;3797;1392;131;-;1471;415;1598
DEE;2370;2409;1029;829;162;218;1346;564;5194;3325;844;107;1364;-;410;1158
DEF;2228;2898;1165;357;1069;7909;2372;2087;10020;9757;1377;303;334;327;-;317
DEG;2809;4518;631;397;46;93;3024;289;1322;2008;959;70;1502;768;180;-
