metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2020;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;2022;m�nnlich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;20304;3402;1028;385;1712;8445;780;3992;9684;8268;961;2585;991;1494;1303
DE2;18479;-;4266;1369;485;1879;7350;849;4542;9972;2888;581;4020;1321;1528;2484
DE3;2637;3777;-;16633;276;1183;1808;1699;2451;3971;740;199;1882;1304;1078;591
DE4;984;1357;8459;-;115;375;690;1664;1186;1636;277;60;2123;1368;595;456
DE5;467;477;364;118;-;629;303;141;6396;1083;145;39;139;82;370;67
DE6;1335;1667;1427;375;416;-;930;1089;6939;2378;389;70;403;270;11324;169
DE7;8172;8256;2300;647;295;1243;-;486;4176;8885;8283;489;1482;705;1185;1487
DE8;675;757;1017;1213;157;925;424;-;1411;1282;210;48;716;466;1501;273
DE9;4505;5353;2775;1305;4900;5687;4068;1532;-;15408;1661;310;1727;2642;4066;1209
DEA;9536;10871;4719;1454;994;3091;8630;1200;15973;-;8945;788;2363;1513;3151;1306
DEB;7532;3183;963;308;170;484;7579;260;1641;8130;-;2162;623;314;536;367
DEC;851;559;212;57;32;76;500;49;271;871;2155;-;101;58;73;96
DED;2153;3988;1921;2217;225;595;1244;814;1705;2556;643;128;-;3178;524;2666
DEE;915;1267;1107;1064;135;408;713;593;2613;1786;353;54;2887;-;399;1288
DEF;1283;1410;882;498;373;8367;926;1960;4005;2586;504;113;471;363;-;259
DEG;1174;2659;677;406;88;280;1546;373;1268;1798;387;76;2757;1192;294;-
