metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1996;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1996;m�nnlich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;17680;2933;1327;411;1233;7925;949;3629;9315;8204;1472;3720;1092;1602;1264
DE2;14408;-;3056;1072;374;1043;5998;504;3447;7620;2481;498;4174;1117;1381;2233
DE3;2485;3357;-;17089;272;935;1736;1261;3193;3771;719;165;1725;978;1498;585
DE4;1532;1981;7424;-;181;509;894;1640;1899;2375;659;92;2040;1573;906;671
DE5;416;439;384;96;-;529;311;195;7543;878;140;16;131;91;471;50
DE6;1025;1041;1027;272;342;-;815;845;6906;1865;329;54;289;217;11393;109
DE7;7031;6718;1850;638;306;969;-;334;4063;7775;7333;485;1549;701;1147;1667
DE8;524;692;1278;1138;335;1387;337;-;1993;1183;235;28;580;546;2899;263
DE9;6121;7329;3110;2691;6527;6540;7723;2768;-;19021;2569;495;2904;5096;5806;1761
DEA;8428;8726;4084;1702;921;2472;8602;1467;14432;-;9163;740;2879;2019;3158;1380
DEB;6503;2709;723;380;145;315;6064;208;1337;7761;-;1848;818;366;500;485
DEC;1335;687;191;74;66;57;646;31;298;972;1888;-;185;87;85;106
DED;3585;5414;2040;1927;144;321;1691;644;1626;3089;957;140;-;2113;458;1671
DEE;1531;1809;1151;1144;168;311;954;627;4038;2806;438;95;2065;-;569;1191
DEF;1453;1494;1263;559;449;8709;1013;2545;4916;2942;570;97;412;336;-;190
DEG;1842;3171;610;471;55;167;2082;298;1313;1695;642;59;2013;1143;244;-
