metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2023;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;2023;insgesamt;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;37717;6061;1891;824;3271;16235;1365;7376;17818;15837;1584;4380;1771;2939;2273
DE2;35242;-;7415;2496;859;3600;13407;1507;7967;17889;5212;955;7194;2317;3231;4620
DE3;5430;7476;-;33425;657;2387;3548;3481;4982;7939;1499;343;3787;2598;2297;1174
DE4;2047;2670;16675;-;228;711;1215;3474;2489;3132;611;114;4625;2790;1220;866
DE5;836;955;638;185;-;1186;547;205;12208;2048;227;62;260;217;837;142
DE6;2448;3126;2498;700;1009;-;1703;2104;12885;4695;758;133;809;533;21873;347
DE7;15856;15129;3966;1229;662;2378;-;960;8236;16997;15492;971;2354;1316;2593;2765
DE8;1240;1470;2095;2456;344;1801;792;-;2706;2202;402;96;1472;901;3222;563
DE9;8583;9401;5111;2463;10790;11628;8231;2849;-;31313;3205;590;3321;4905;8629;2432
DEA;17998;19343;8783;2875;2211;6405;16802;2367;31985;-;17068;1545;4098;2678;6422;2400
DEB;14636;5753;1674;640;344;937;14563;470;3116;15764;-;4415;1228;654;1166;707
DEC;1758;974;410;110;65;184;1012;90;534;1930;4279;-;210;114;159;114
DED;4109;6155;3696;4019;385;1095;2490;1800;2970;4744;1177;276;-;6114;1060;4738
DEE;1768;2364;2260;2108;301;664;1329;1133;5120;3341;658;127;5772;-;803;2576
DEF;2535;2823;1672;939;850;16606;1900;3597;8066;5249;975;206;969;705;-;460
DEG;2368;4939;1284;888;263;552;2980;817;2543;3483;761;173;5814;2607;587;-
