metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1998;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1998;insgesamt;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;34658;5900;2185;724;2511;15679;1699;6848;16897;14626;2411;5597;1801;2691;2442
DE2;28860;-;5932;1782;557;2270;11613;780;6125;14051;4292;752;6072;1818;2335;3668
DE3;5478;6883;-;47923;495;1870;3437;2538;6027;6824;1390;270;2632;1710;2768;1142
DE4;3408;4326;19424;-;361;982;1910;3159;4014;5082;1295;139;4265;2565;1750;1148
DE5;752;781;804;123;-;1003;635;274;15945;1713;245;32;226;139;796;80
DE6;2081;2213;2122;417;655;-;1737;1611;14191;3451;537;107;493;313;23427;169
DE7;14366;13482;3834;1042;560;2029;-;565;7963;15555;14625;884;2258;1099;2270;2910
DE8;1619;1612;3370;2538;502;3511;827;-;4511;2749;589;71;1183;947;5794;541
DE9;10599;15126;7201;4154;11625;12621;13839;4323;-;35357;4281;879;5042;7425;10303;3863
DEA;17546;18050;9267;3029;1731;4929;16854;2236;29364;-;18271;1339;4297;2753;6034;2041
DEB;12608;5203;1599;582;208;663;12295;380;2664;15178;-;3619;1074;607;989;745
DEC;2379;1314;478;123;38;168;1178;59;505;1710;3928;-;289;93;147;112
DED;8618;12502;3610;3892;224;715;3761;1425;3447;6691;2121;282;-;3917;922;3547
DEE;3605;4399;2742;2620;282;654;2119;1154;9176;5483;810;152;4712;-;956;2677
DEF;2916;2895;2842;851;715;18238;1986;4537;8627;5219;952;182;737;601;-;286
DEG;3752;7008;1341;880;126;249;4836;570;2735;3578;1253;123;4144;2404;436;-
