metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2024;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;2024;insgesamt;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;36430;5740;1712;720;2904;15689;1300;6885;17526;14972;1562;4356;1671;2849;1988
DE2;33830;-;7160;2247;917;3163;12785;1461;7566;17578;4950;905;6800;2178;2939;4231
DE3;5379;7658;-;32419;568;2315;3431;3236;4918;7681;1370;302;3706;2761;2332;1190
DE4;1780;2286;17006;-;222;677;1176;3399;2374;2754;662;131;4383;2658;1083;785
DE5;818;893;657;197;-;1142;570;251;12433;2092;245;48;269;192;748;131
DE6;2487;3086;2595;633;920;-;1670;1778;12121;4535;681;133;760;479;21166;280
DE7;15455;15423;4090;1215;555;2199;-;979;7788;16400;15417;859;2520;1207;2340;2528
DE8;1097;1413;2153;2403;304;1828;733;-;2507;2275;434;80;1493;944;3249;581
DE9;8264;9064;5193;2299;9498;11353;7760;2751;-;30253;2925;623;3296;4872;8226;2159
DEA;17761;19115;8917;2661;2044;5948;16341;2363;31227;-;16991;1423;4426;2667;6338;2156
DEB;14299;5654;1672;568;285;898;14412;488;2982;15865;-;4359;1173;606;1115;701
DEC;1781;1058;370;92;46;164;965;64;548;1588;4104;-;228;113;185;122
DED;3850;6239;3666;3533;356;907;2436;1615;2979;4805;1138;247;-;6139;1126;4293
DEE;1774;2233;2253;2163;246;699;1344;1101;4802;3375;619;129;5871;-;787;2410
DEF;2615;2823;1695;867;826;16145;1770;3394;7759;5174;887;141;953;688;-;472
DEG;2279;4875;1344;812;207;563;2879;760;2439;3503;794;122;5714;2623;684;-
