metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1991;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1991;insgesamt;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;31045;5367;1637;840;2336;14077;626;8578;16888;14360;2258;5281;1810;3368;2178
DE2;29593;-;5323;1406;696;2324;11352;579;7865;15516;5602;1115;6756;1919;3021;4237
DE3;5998;6670;-;7724;641;2037;3669;1497;7557;7968;1744;376;2173;1144;3201;1090
DE4;6465;5740;9862;-;439;873;2787;2109;7296;9261;2104;301;3748;2128;1684;1276
DE5;831;870;623;122;-;898;675;183;12801;1492;293;49;115;102;1002;46
DE6;1817;2052;1590;193;621;-;1589;919;10554;3293;585;98;278;186;18211;104
DE7;14067;13279;3420;692;616;1896;-;278;8532;15184;14175;1027;1625;870;2632;2444
DE8;2680;2073;3025;2438;1143;3070;1139;-;7842;4811;827;76;2045;1526;8282;909
DE9;14955;13342;5498;1422;10111;10245;16350;1590;-;45066;7773;2424;1747;3936;9525;1539
DEA;18693;18992;7991;2132;1700;4874;16520;1351;28476;-;17073;1531;3633;2399;7432;2008
DEB;12167;5299;1566;552;221;672;10737;220;2853;13543;-;3342;1130;657;998;754
DEC;3176;1486;417;126;82;189;1380;30;589;1801;4455;-;222;113;251;120
DED;18503;23416;3782;3508;336;678;6154;1535;5772;11535;3962;446;-;2966;971;3336
DEE;6809;7082;2335;2247;432;609;3659;1392;14742;9887;2582;240;3290;-;1070;2256
DEF;5613;4628;2100;473;1531;15899;4858;2161;17499;20616;3132;487;398;284;-;237
DEG;7458;12455;1571;1033;154;219;8246;635;3913;5878;2382;262;3202;1885;465;-
