metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1992;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1992;insgesamt;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;32229;5595;1846;882;2352;14685;1000;8548;16699;15636;2075;6816;2002;3374;3074
DE2;30101;-;5246;1797;813;2258;11904;802;7760;15381;6103;1043;8799;2125;3105;5673
DE3;5426;6537;-;9436;635;1815;3834;1744;7521;7915;1843;338;2176;1288;3489;1269
DE4;4739;4636;9876;-;580;924;2736;2013;7092;9226;2060;266;3164;1793;1745;1152
DE5;823;738;616;162;-;836;626;293;14477;1582;302;65;161;171;950;104
DE6;1755;2032;1696;281;676;-;1505;1200;11067;3252;585;107;369;161;19627;177
DE7;14134;13637;3370;911;711;1963;-;511;8995;14931;15929;1019;2344;1079;2627;3671
DE8;1958;1670;2588;2126;796;2887;978;-;6049;3654;876;65;1478;1156;6683;818
DE9;11687;13404;5443;1732;10811;9766;14885;2327;-;35665;7652;1479;2141;4794;9182;2180
DEA;17187;18308;8010;2898;1880;4718;16527;2142;29219;-;17841;1478;4887;3148;7407;3157
DEB;11694;5531;1477;628;247;664;11682;281;2885;13123;-;3585;1428;642;1215;1195
DEC;2758;1450;412;165;91;145;1211;66;563;1754;4458;-;314;136;244;208
DED;13128;17267;3276;2850;336;498;4664;1225;4053;7898;2876;284;-;2896;856;3305
DEE;4665;4702;1980;1663;311;471;2711;1127;10991;6653;1719;201;2677;-;827;2330
DEF;4203;5730;2189;568;1946;15550;4745;3270;19261;19376;2746;554;569;498;-;527
DEG;5623;9478;1269;786;88;191;6407;590;2785;4127;1956;150;2909;1574;332;-
