metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1996;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1996;insgesamt;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;34582;5282;2449;797;2322;15378;1852;7037;18080;15992;2844;6438;1995;3127;2261
DE2;27854;-;5255;1855;678;1966;11321;845;6514;14361;4728;921;7059;1941;2599;3995
DE3;4631;6274;-;33505;531;1791;3321;2286;6334;7022;1452;288;2842;1772;2895;1132
DE4;3010;3859;14644;-;362;961;1810;3248;3925;4821;1227;187;4076;3094;1767;1328
DE5;799;817;646;152;-;984;592;310;15223;1656;280;40;208;159;837;95
DE6;1943;1988;1884;456;667;-;1515;1508;13719;3524;604;102;481;362;22898;195
DE7;13803;12944;3318;1111;586;1784;-;597;8076;15360;14271;953;2533;1247;2273;3014
DE8;1028;1264;2611;2323;708;2855;684;-;4100;2330;474;56;1127;1076;5656;527
DE9;11855;14437;5609;5212;12597;12761;15698;5170;-;38481;5180;1027;5543;9733;11058;3385
DEA;16168;16704;7365;2972;1737;4636;16398;2721;28597;-;18246;1400;4919;3528;6145;2461
DEB;12377;5117;1266;685;265;593;12047;383;2621;15297;-;3644;1407;614;983;870
DEC;2340;1200;335;141;104;119;1218;58;540;1808;3764;-;303;145;157;177
DED;7520;11163;3464;3923;261;573;3301;1393;3250;6140;1957;281;-;4134;816;3419
DEE;3080;3545;2203;2354;322;547;1937;1242;8628;5453;866;178;4033;-;963;2488
DEF;2728;2727;2249;920;812;17039;1942;4540;8949;5553;1085;173;699;575;-;338
DEG;3757;6682;1219;957;144;320;4519;636;2896;3540;1273;121;3888;2277;429;-
