metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1995;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1995;insgesamt;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;36096;5539;2361;812;2238;15496;1119;7628;17291;17886;2483;6800;2070;3156;2642
DE2;28632;-;5208;2156;660;2143;11314;803;6605;14229;4843;773;8075;2081;2736;4226
DE3;4860;6140;-;27535;556;1571;3237;2015;6465;6590;1473;242;2741;1683;3047;1155
DE4;2688;3622;1299;-;384;604;1681;3059;3964;4979;1396;197;3646;2616;1765;953
DE5;811;774;610;179;-;848;618;306;14673;1704;230;43;210;183;830;99
DE6;1900;2002;1885;457;664;-;1571;1339;13429;3374;600;82;440;294;21900;157
DE7;13587;13394;3500;1148;655;1807;-;627;8239;14353;14703;864;2762;1270;2376;3384
DE8;1256;1228;2800;2339;685;2542;684;-;4759;2561;499;52;1285;993;5627;600
DE9;11915;15345;5745;3684;11830;10559;16743;3863;-;40496;6537;1062;3959;7802;10920;2646
DEA;16957;16804;7944;3407;1796;4620;16262;2647;29546;-;18070;1212;5273;3802;6523;2811
DEB;12375;5198;1425;650;273;586;12090;336;2855;13888;-;3428;1643;695;1046;792
DEC;2388;1214;389;177;121;181;1153;92;530;1708;4129;-;253;154;163;138
DED;8293;11538;3207;3852;279;520;3347;1365;3514;6033;1797;300;-;4289;850;3686
DEE;3087;3651;2063;2246;272;469;2178;1174;9835;5464;1258;187;3609;-;959;2560
DEF;3650;4706;2490;1244;1481;20631;3229;4298;11768;9485;2055;339;1068;1005;-;429
DEG;4055;7215;1288;988;150;221;5059;606;2662;3712;1347;150;3699;2276;373;-
