metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1997;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1997;insgesamt;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;34052;5114;2419;736;2388;15583;1869;6937;17952;15374;2600;6066;1761;3016;2377
DE2;27015;-;5150;1787;643;2210;11551;816;6028;14165;4467;815;6848;1800;2513;3955
DE3;5010;6065;-;44634;504;1758;3445;2528;6132;6834;1560;307;2898;1739;2830;1144
DE4;3033;3981;17283;-;277;1036;1602;3151;3829;5279;1203;232;4625;2755;1742;1170
DE5;822;759;646;142;-;993;644;317;15172;1807;274;53;184;177;802;85
DE6;2031;2047;1925;519;650;-;1629;1443;13549;3472;532;95;478;351;23166;181
DE7;13759;13022;3365;1015;615;1929;-;607;8310;15484;14704;870;2472;1151;2397;2924
DE8;1278;1285;2909;2568;498;3030;773;-;4129;2427;491;66;1291;912;5680;546
DE9;11372;15113;6033;4241;12546;12515;15011;4164;-;37533;4867;971;6309;8507;10655;4790
DEA;16479;16226;7774;3165;1584;4631;16175;2408;29394;-;17531;1368;4808;2802;6161;2332
DEB;12452;4997;1419;599;249;704;12508;483;2648;15219;-;3440;1202;622;1025;683
DEC;2275;1280;402;117;48;173;1093;82;534;1787;3971;-;255;142;167;159
DED;7395;11377;3404;4028;217;680;3413;1289;2979;6087;1838;274;-;4163;944;3495
DEE;3016;3554;2417;2558;345;688;2027;1290;8748;5031;404;142;4522;-;966;2596
DEF;2783;2757;2299;941;832;17854;1921;4539;9013;5325;1031;168;760;528;-;301
DEG;3330;6505;1284;886;94;385;4696;587;2714;3361;1240;119;4088;2322;445;-
