metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1999;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1999;insgesamt;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;34286;5430;2414;725;2591;15384;1383;6810;16414;14582;2206;5313;1634;2544;2210
DE2;28341;-;5446;1694;654;2472;11692;845;6121;14195;4488;900;5965;1730;2537;3743
DE3;5415;6937;-;43908;514;1940;3638;2716;5616;7100;1419;236;2326;1628;2483;994
DE4;4307;5174;20816;-;327;1251;1821;3185;4227;5681;1412;191;4238;2382;1792;1290
DE5;873;871;757;140;-;1092;639;250;16082;1699;230;48;153;159;683;69
DE6;2096;2357;2396;499;739;-;1657;1704;13717;3839;512;99;433;332;23923;182
DE7;14499;14495;3739;965;599;2019;-;585;8158;16075;13962;848;2145;1012;2284;2923
DE8;1827;1830;3443;2411;547;4005;903;-;4721;3008;658;60;1198;900;6145;539
DE9;11712;17046;6797;4599;12357;13447;14333;4412;-;38209;5288;1012;5711;7948;10018;4181
DEA;17858;19135;13062;3964;1737;5439;17141;2088;29483;-;17764;1393;3840;2582;6082;2184
DEB;12287;5293;1588;709;230;678;12611;382;2597;15247;-;3626;952;515;926;670
DEC;2156;1276;375;95;92;175;1224;74;468;1897;4064;-;157;81;145;143
DED;9714;14339;3575;3507;307;812;3798;1376;3405;7149;2027;220;-;3514;921;3581
DEE;4285;5403;2480;2440;324;669;2416;1276;9675;5773;1248;108;4801;-;984;2560
DEF;3054;3106;2378;867;645;18433;2114;4383;8678;5198;908;112;644;528;-;323
DEG;4138;7507;1363;932;138;318;4703;641;2855;3642;1295;132;4042;2171;456;-
