metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1994;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1994;insgesamt;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;34922;5579;2116;822;2395;15645;1041;8287;17023;17951;2548;6686;2134;3281;2872
DE2;28780;-;5471;2021;725;2247;11309;760;7063;14346;5470;937;8620;2164;2792;4616
DE3;4692;5636;-;21338;553;1820;3141;2013;6781;6430;1539;268;2541;1600;3163;1153
DE4;2964;3070;11195;-;300;583;1612;2319;4250;5036;1360;166;3266;2194;1459;944
DE5;723;717;631;140;-;942;595;347;15425;1453;216;43;188;171;832;92
DE6;1805;1722;1775;392;531;-;1465;1268;13457;3218;555;105;507;309;22418;167
DE7;13596;13216;3550;1185;647;1868;-;635;8792;14825;16162;910;2842;1330;2437;3521
DE8;1330;1172;2460;2290;654;2460;763;-;5266;2525;506;95;1293;1080;5506;620
DE9;11253;12865;5653;3426;11040;10661;13894;2868;-;37957;6219;1150;2739;6894;10964;2239
DEA;16414;16497;7794;3705;1776;5060;16105;2300;31495;-;18647;1209;5518;3906;6814;2801
DEB;12120;4972;1452;761;230;721;12129;373;2968;13341;-;3603;1509;852;1161;1020
DEC;2555;1171;383;169;91;143;1221;72;613;1668;4255;-;306;164;227;165
DED;8462;11045;2775;3396;271;488;3687;1385;3768;6033;2482;222;-;3769;762;3423
DEE;3216;3378;2001;2296;351;471;2147;1103;9986;5464;1428;140;2944;-;778;2227
DEF;3687;4320;2377;1673;1296;19399;2946;4076;12792;10428;1914;308;664;698;-;419
DEG;3519;6905;1176;861;97;191;5191;550;3057;3403;1476;115;3331;2115;325;-
