metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2022;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;2022;insgesamt;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;39386;6778;1982;758;3451;16889;1544;7809;18914;16556;1921;5034;1908;3028;2496
DE2;36039;-;8392;2577;907;3841;14179;1692;8534;18865;5456;1081;7744;2513;3068;4821
DE3;5270;7264;-;33046;582;2431;3636;3554;5073;7964;1529;360;3791;2634;2309;1263
DE4;1930;2601;16672;-;230;775;1317;3526;2378;3175;590;117;4274;2814;1213;951
DE5;868;873;720;226;-;1257;587;275;13094;2169;262;73;260;164;781;122
DE6;2664;3239;2964;745;865;-;1919;2238;14048;4941;765;147;819;509;23026;359
DE7;16229;15893;4534;1288;570;2630;-;983;8368;17927;16618;1001;2855;1367;2509;2994
DE8;1319;1455;2158;2528;300;1817;828;-;2789;2395;415;84;1510;940;3064;550
DE9;8658;10001;5701;2509;9640;11440;8272;3194;-;31725;3262;610;3335;5199;8420;2326
DEA;18225;19976;9759;2804;1978;6567;17222;2390;32712;-;18040;1560;4503;2890;6528;2465
DEB;14891;6037;1968;607;315;993;15377;536;3178;16522;-;4364;1207;636;1080;710
DEC;1715;1024;403;111;63;168;988;100;533;1827;4557;-;201;112;166;163
DED;4049;7057;3844;4363;366;1123;2403;1686;3241;4827;1237;261;-;6262;1037;5243
DEE;1667;2369;2193;2184;228;761;1386;1228;5152;3399;639;97;5829;-;759;2662
DEF;2612;2768;1826;1059;725;16753;1885;3824;8245;5219;999;229;995;715;-;489
DEG;2239;5079;1425;827;179;578;3177;784;2575;3488;787;139;5611;2567;564;-
